Filename;track type;Acc.%,Error 0;Error 1;Error 2;Error 3;TP;FP;FN;TN;Precision;Recall;F-measure
Romanticism_Romanticism_Chopin_Valse_in_Db_Op.64_No1_La_Valse_Minute_7.mid (0, 0, 0, 1)
Baroque_Baroque-Late_Bach_WTCPRE18.mid (0, 0, 0, 1)
XXCentury_Impressionism_Ravel_ravel-wind_quintet.mid (1, 0, 0, 0)
victoria_salve_regina.mid (1, 0, 0, 0)
Classicism_Classicism_Mozart_mz_quarc.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-1-Kyrie-4s.mid (1, 0, 0, 0)
mozart18.mid (1, 0, 0, 0)
Baroque_Baroque-Middle_Rosenmuller_01studm_m.mid (1, 0, 0, 0)
Romanticism_Romanticism_Bizet_570thetop.mid (0, 0, 0, 1)
Baroque_Baroque-Late_Bach_WT1_X4B.mid (0, 1, 0, 0)
Renaissance_Renaissance-Late_Victoria_Magnificat_Primi_Toni-impares-1t.mid (1, 0, 0, 0)
burgundian.mid (1, 0, 0, 0)
Classicism_Classicism_Haydn_haydn_-9.mid (0, 0, 0, 1)
pavane_for_shawm_band.mid (0, 1, 0, 0)
843guitar.mid (1, 0, 0, 0)
arias_kv523.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Cum_Beatus_Ignatius-1s.mid (1, 0, 0, 0)
Beethoven_Symphony_#5.MID (0, 1, 0, 0)
Renaissance_Renaissance-Late_Victoria_O_Quam_Gloriosum-5-Benedictus-s.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Estote_Fortes_In_Bello-t.mid (1, 0, 0, 0)
XXCentury_Impressionism_Debussy_debussy-prelude_2livre_18.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Byrd_FW061.mid (0, 0, 0, 1)
Renaissance_Renaissance-Late_Victoria_OD-08-Communio.mid (1, 0, 0, 0)
clementi_sonatina_gradus_65.mid (0, 1, 0, 0)
Vexilla_Regis_b.mid (0, 1, 0, 0)
